signal_1;signal_2
1448381197621;30.7
1448381197692;30.8
1448381197763;30.8
1448381197842;31.0
1448381197932;30.8
1448381198002;30.8
1448381198072;30.8
1448381198141;30.6
1448381198212;30.6
1448381198302;30.7
1448381198381;31.0
1448381198462;30.7
1448381198542;30.6
1448381198612;31.7
1448381198692;31.1
1448381198763;31.4
1448381198832;31.2
1448381198913;31.3
1448381198992;30.8
1448381199072;31.0
1448381199141;31.8
1448381199212;31.7
1448381199302;31.2
1448381199392;31.3
1448381199462;31.5
1448381199512;31.2
1448381199583;31.4
1448381199662;31.0
1448381199733;31.3
1448381199812;31.2
1448381199892;31.4
1448381199972;31.2
1448381200042;31.3
1448381200112;31.2
1448381200181;31.2
1448381200262;31.6
1448381200342;31.7
1448381200422;31.7
1448381200502;31.5
1448381200573;31.3
1448381200642;31.5
1448381200713;31.5
1448381200793;31.3
1448381200862;31.6
1448381200932;31.7
1448381201023;31.5
1448381201107;31.4
1448381201182;31.3
1448381201252;31.9
1448381201322;31.6
1448381201403;31.5
1448381201432;31.9
1448381201502;31.6
1448381201582;31.9
1448381201662;31.5
1448381201752;32.3
1448381201823;32.0
1448381201892;32.2
1448381201972;32.1
1448381202052;32.2
1448381202133;31.7
1448381202212;31.8
1448381202342;31.5
1448381202422;31.8
1448381202462;32.0
1448381202532;32.2
1448381202613;32.0
1448381202682;32.6
1448381202762;32.0
1448381202842;31.9
1448381202922;32.7
1448381203002;31.7
1448381203073;32.5
1448381203141;32.3
1448381203212;31.8
1448381203281;32.3
1448381203352;32.3
1448381203422;32.6
1448381203491;31.9
1448381203562;32.8
1448381203632;32.5
1448381203702;32.2
1448381203773;31.9
1448381203842;32.2
1448381203932;32.3
1448381204012;32.4
1448381204082;32.6
1448381204151;32.1
1448381204222;32.9
1448381204291;32.2
1448381204332;32.5
1448381204360;32.9
1448381204402;32.1
1448381204482;32.3
1448381204552;32.6
1448381204632;32.3
1448381204702;32.9
1448381204772;32.6
1448381204843;32.9
1448381204913;32.5
1448381204983;32.9
1448381205062;32.4
1448381205131;32.6
1448381205171;32.7
1448381205201;32.5
1448381205243;32.7
1448381205312;32.7
1448381205382;32.4
1448381205452;32.6
1448381205522;32.7
1448381205592;32.6
1448381205682;32.5
1448381205752;32.5
1448381205822;33.2
1448381205902;32.5
1448381205982;32.3
1448381206052;33.4
1448381206122;32.6
1448381206192;32.6
1448381206262;32.8
1448381206332;32.8
1448381206401;32.8
1448381206472;32.9
1448381206543;32.7
1448381206583;32.6
1448381206652;32.6
1448381206722;32.6
1448381206792;33.0
1448381206862;32.6
1448381206932;32.7
1448381207002;33.2
1448381207072;32.6
1448381207142;33.2
1448381207212;33.1
1448381207282;33.3
1448381207362;32.8
1448381207442;33.0
1448381207512;32.9
1448381207582;33.0
1448381207652;32.6
1448381207722;32.9
1448381207793;33.0
1448381207862;32.9
1448381207933;33.3
1448381208003;33.3
1448381208072;32.9
1448381208157;33.9
1448381208232;33.1
1448381208302;33.1
1448381208371;32.9
1448381208411;33.8
1448381208440;33.7
1448381208482;33.2
1448381208562;33.7
1448381208633;33.3
1448381208702;33.5
1448381208772;33.0
1448381208842;33.1
1448381208883;33.3
1448381208952;33.8
1448381209032;33.5
1448381209102;33.4
1448381209171;34.0
1448381209242;33.5
1448381209322;33.3
1448381209391;33.1
1448381209442;34.0
1448381209531;33.3
1448381209642;33.5
1448381209722;33.4
1448381209802;34.2
1448381209872;33.4
1448381209952;33.8
1448381210022;33.4
1448381210092;33.3
1448381210161;33.3
1448381210242;33.3
1448381210322;33.4
1448381210392;33.9
1448381210472;33.7
1448381210542;33.3
1448381210613;33.8
1448381210682;33.7
1448381210762;33.5
1448381210842;34.1
1448381210922;34.6
1448381211002;33.3
1448381211072;33.8
1448381211147;33.8
1448381211222;33.6
1448381211302;34.1
1448381211332;34.3
1448381211411;34.0
1448381211502;34.1
1448381211572;33.5
1448381211642;33.6
1448381211682;33.9
1448381211752;34.5
1448381211832;33.8
1448381211902;33.9
